Number	Path	Coordinates
60;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-17.4;y=;13.65019
61;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-16.365;y=;19.23
62;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;4.750711;y=;-4.018201
63;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
64;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-1.4;y=;12.32748
65;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.15;y=;18.225
66;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.15;y=;18.225
67;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.15;y=;18.225
68;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.15;y=;18.225
69;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.15;y=;18.225
70;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.15;y=;18.225
71;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.15;y=;18.225
72;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.15;y=;18.225
73;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.15;y=;18.225
74;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.14;y=;18.225
75;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.14;y=;18.225
76;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.14;y=;18.225
77;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.14;y=;18.225
78;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.6000004;y=;15.4
79;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.6000004;y=;15.4
80;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-1.66409;y=;10.33591
81;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.6000004;y=;-0.6000004
82;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.6000004;y=;15.4
83;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
84;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-8.12132;y=;5.478681
85;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
86;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
87;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-1.4;y=;9.621271
88;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-7.33942;y=;11.73942
89;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-1.97;y=;4.54
90;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-10.365;y=;-5.34
91;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.6000004;y=;15.4
92;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-17.4;y=;11.53254
93;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-16.365;y=;19.23
94;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-3.979749;y=;8.200001
95;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.6000004;y=;15.4
96;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
97;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.267621;y=;9.732378
98;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-0.6000004;y=;15.4
99;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
